item,palavra,ordem,ocorrências,corpus_frequencia,classificação,rastreador,texto,TVLPB,banda,script
p00441,tradicional,1196,5086,linguateca,adjetivo,não,NA,sim,8,3
p00444,transexual,,374,linguateca,adjetivo,não,NA,nao,N/A,3
p00447,transmasculino,NA,0,linguateca,adjetivo,não,NA,nao,N/A,3
p00450,tropa,2300,2401,linguateca,substantivo,não,NA,nao,N/A,3
p00453,ultrajante,NA,159,linguateca,adjetivo,não,NA,nao,N/A,3
p00456,vago,2951,1716,linguateca,adjetivo,não,NA,sim,3,3
p00459,ver,69,78799,linguateca,verbo,não,NA,sim,8,3
p00462,vestido,2070,2699,linguateca,substantivo,sim,4,sim,3,3
p00465,vida,145,34415,linguateca,substantivo,sim,1 e 4,sim,8,3
p00468,virilizar,,2,linguateca,verbo,não,NA,nao,N/A,3
p00471,visto,,77740,linguateca,adjetivo,não,NA,nao,N/A,3
